kebangsaan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Volta Atas,-,-,-,-,-,-,-,-,-,-,-,-,-
Wales,-,-,-,-,-,-,-,-,-,-,-,-,-
R u s i a,23335,18302,15412,11619,10179,10152,10961,10324,9788,11409,12004,-,-
Other East Europe,15912,17600,17257,16375,12979,13003,14761,17543,17174,19533,16574,-,-
Albania,61,54,97,99,114,82,71,128,135,102,93,-,-
Armenia,85,55,150,43,89,159,98,118,122,207,63,-,-
Azerbaijan,121,89,251,58,116,150,192,204,142,157,125,-,-
Belarus,1008,910,681,522,473,473,541,487,589,604,639,-,-
Bosnia Herzegovina,51,49,73,74,78,84,59,88,96,82,45,-,-
Bulgaria,557,815,801,802,428,287,280,379,505,710,744,-,-
Ceko,1427,1837,2044,1620,960,1012,1476,1094,1289,1736,1897,-,-
Croasia,257,234,287,371,250,252,304,401,318,374,386,-,-
Cyprus,68,98,77,142,93,173,227,431,116,140,119,-,-
Estonia,686,751,657,300,287,230,193,258,292,624,580,-,-
Georgia,47,64,61,39,96,53,91,115,93,58,38,-,-
Hongaria,1274,1405,1551,1391,1301,1194,1273,1212,1571,2031,1205,-,-
Latvia,600,636,644,384,246,202,192,1077,376,629,473,-,-
Lithuania,1043,1392,1087,847,564,538,534,554,659,867,635,-,-
Macedonia,21,11,26,5,22,31,30,47,51,62,27,-,-
Moldova,43,67,29,32,49,48,36,51,53,57,47,-,-
Polandia,2730,3198,3160,3312,2917,2992,3601,4087,4836,4367,3889,-,-
Romania,1598,1712,1806,2311,1974,1959,1851,2551,2338,2461,1657,-,-
Montenegro,6,12,14,11,27,24,15,17,25,10,29,-,-
Serbia,253,297,248,364,222,253,346,384,347,404,299,-,-
Republik Cosovo,1,-,1,1,2,2,3,1,1,4,1,-,-
Siberia,-,-,-,-,-,-,-,-,-,-,-,-,-
Slovakia,501,742,639,749,552,493,591,578,592,737,677,-,-
Slovenia,187,180,240,309,161,303,616,368,457,535,253,-,-
Ukraine,2760,2430,2020,1792,1436,1477,1368,1468,1400,1673,1777,-,-
Yugoslavia,-,-,-,-,-,-,-,-,-,-,-,-,-
Yunani (Greece),527,562,613,797,522,532,773,1445,771,902,876,-,-
TOTAL EUROPE,117397,118734,143154,152813,157874,152199,230434,241947,205072,187839,134215,-,-
United States of America,21095,24714,30982,31617,35524,39340,41147,35359,35268,34065,29658,-,-
Canada,6552,7786,7780,7044,7937,5972,6720,5600,7104,7473,6854,-,-
Central America,86,102,143,128,120,140,185,169,158,262,227,-,-
Belize,10,2,3,5,3,5,4,4,3,4,1,-,-
Costarika,29,25,45,50,41,33,53,52,42,92,40,-,-
El Salvador,7,6,13,13,8,16,20,22,19,17,12,-,-
Guatemala,20,40,27,10,30,43,32,40,41,81,73,-,-
Honduras,8,14,12,19,11,11,20,9,16,17,24,-,-
Nicaragua,5,3,6,4,2,3,4,10,4,6,9,-,-
Panama,7,12,37,27,25,29,52,32,33,45,68,-,-
South America,4258,5161,5418,6109,6395,5789,5610,6371,7139,6394,5946,-,-
Argentina,823,695,802,871,918,931,837,851,1006,858,838,-,-
Bolivia,7,14,38,15,22,10,13,21,18,19,14,-,-
Brazilia,1633,1541,1876,2608,2707,2754,2523,2881,3014,2515,2079,-,-
Chili,489,819,726,725,823,688,659,752,990,892,841,-,-
Ekuador,93,101,119,144,116,94,98,159,155,150,182,-,-
Falkland Islands,-,-,-,-,-,-,-,-,-,-,-,-,-
Guiana,-,-,-,-,-,-,-,-,-,-,-,-,-
Guyana,2,4,2,-,3,2,7,6,6,7,6,-,-
Kolombia,917,1325,1172,1134,1185,825,965,1168,1386,1399,1501,-,-
Paraguay,8,10,7,20,12,7,9,23,15,16,20,-,-
Peru,176,214,240,214,386,264,308,305,280,335,265,-,-
Suriname,11,11,18,29,48,38,24,24,94,27,8,-,-
Uruguay,61,405,370,310,114,119,82,83,63,75,64,-,-
Venezuela,38,22,48,39,61,57,85,98,112,101,128,-,-
